mkdir -p data
cat > data/universe.csv <<'CSV'
ticker
AACB
AACBR
AACBU
AACG
AADR
AAEQ
AAL
AALG
AAME
AAOI
AAON
AAPB
AAPD
AAPG
AAPL
AAPU
AARD
AAUS
AAVM
AAXJ
ABAT
ABCL
ABCS
ABEO
ABI
ABIG
ABLV
ABLVW
ABNB
ABNG
ABOS
ABP
ABPWW
ABSI
ABTC
ABTS
ABUS
ABVC
ABVE
ABVEW
ABVX
ACAD
ACB
ACCL
ACDC
ACEP
ACET
ACFN
ACGL
ACGLN
ACGLO
ACHC
ACHV
ACIC
ACIU
ACIW
ACLS
ACLX
ACMR
ACNB
ACNT
ACOG
ACON
ACONW
ACRS
ACRV
ACT
ACTG
ACTU
ACWI
ACWX
ACXP
ADACU
ADAG
ADAM
ADAMG
ADAMH
ADAMI
ADAML
ADAMM
ADAMN
ADAMO
ADAMZ
ADBE
ADBG
ADEA
ADGM
ADI
ADIL
ADMA
ADP
ADPT
ADSE
ADSEW
ADSK
ADTN
ADTX
ADUR
ADUS
ADV
ADVB
ADXN
AEAQU
AEBI
AEC
AEHL
AEHR
AEI
AEIS
AEMD
AENT
AENTW
AEP
AERT
AERTW
AEVA
AEVAW
AEYE
AFBI
AFCG
AFJK
AFJKR
AFJKU
AFOS
AFRI
AFRIW
AFRM
AFSC
AFYA
AGAE
AGCC
AGEM
AGEN
AGGA
AGH
AGIO
AGIX
AGMH
AGMI
AGNC
AGNCL
AGNCM
AGNCN
AGNCO
AGNCP
AGNCZ
AGNG
AGPU
AGRZ
AGYS
AGZD
AHCO
AHG
AHMA
AIA
AIFD
AIFF
AIFU
AIHS
AIIO
AIIOW
AIMD
AIMDW
AIOT
AIP
AIPI
AIPO
AIQ
AIRE
AIRG
AIRJ
AIRJW
AIRO
AIRR
AIRS
AIRT
AIRTP
AISP
AISPW
AIXC
AIXI
AKAM
AKAN
AKBA
AKTS
AKTX
ALAB
ALAR
ALBG
ALBT
ALCO
ALCY
ALCYU
ALCYW
ALDF
ALDFU
ALDFW
ALDX
ALEC
ALF
ALFUU
ALFUW
ALGM
ALGN
ALGS
ALGT
ALHC
ALIL
ALIS
ALISR
ALISU
ALKS
ALKT
ALLO
ALLR
ALLT
ALLW
ALM
ALMS
ALMU
ALNT
ALNY
ALOT
ALPS
ALRM
ALRS
ALT
ALTI
ALTO
ALTS
ALTY
ALVO
ALVOW
ALXO
ALZN
AMAL
AMAT
AMBA
AMBR
AMCI
AMCX
AMD
AMDD
AMDG
AMDL
AMDU
AMGN
AMID
AMIX
AMKR
AMLX
AMOD
AMODW
AMPG
AMPGW
AMPH
AMPL
AMRN
AMRX
AMSC
AMSF
AMST
AMTX
AMUN
AMUU
AMWD
AMYY
AMZD
AMZN
AMZU
AMZZ
ANAB
ANDE
ANEB
ANEL
ANGH
ANGHW
ANGI
ANGL
ANGO
ANIK
ANIP
ANIX
ANL
ANNA
ANNAW
ANNX
ANPA
ANSC
ANSCU
ANSCW
ANTA
ANTX
ANY
AOHY
AOSL
AOTG
AOUT
APA
APAC
APACR
APACU
APAD
APADR
APADU
APEI
APGE
API
APLD
APLM
APLMW
APLS
APLT
APM
APOG
APP
APPF
APPN
APPS
APPX
APRE
APVO
APWC
APXT
APXTU
APXTW
APYX
AQB
AQMS
AQST
AQWA
ARAI
ARAY
ARBB
ARBE
ARBEW
ARBK
ARCB
ARCC
ARCT
ARDX
AREB
AREBW
AREC
ARGX
ARHS
ARKO
ARKR
ARLP
ARM
ARMG
AROW
ARQ
ARQQ
ARQQW
ARQT
ARRY
ARTCU
ARTL
ARTNA
ARTV
ARTW
ARVN
ARVR
ARWR
ASBP
ASBPW
ASCI
ASLE
ASMB
ASMG
ASML
ASND
ASNS
ASO
ASPC
ASPCR
ASPCU
ASPI
ASPS
ASPSW
ASPSZ
ASRT
ASRV
ASST
ASTC
ASTE
ASTH
ASTI
ASTL
ASTLW
ASTS
ASUR
ASYS
ATAI
ATAT
ATCX
ATEC
ATER
ATEX
ATGL
ATHE
ATHR
ATII
ATIIU
ATIIW
ATLC
ATLCL
ATLCP
ATLCZ
ATLN
ATLO
ATLX
ATNI
ATOM
ATON
ATOS
ATPC
ATRA
ATRC
ATRO
ATXG
ATXS
ATYR
AUBN
AUDC
AUGO
AUID
AUMI
AUPH
AUR
AURA
AURE
AUROW
AUTL
AUUD
AUUDW
AVAH
AVAV
AVBH
AVBP
AVDL
AVGB
AVGG
AVGO
AVGU
AVGX
AVIR
AVL
AVNW
AVO
AVPT
AVR
AVS
AVT
AVTX
AVUQ
AVX
AVXC
AVXL
AVXX
AWRE
AXG
AXGN
AXIN
AXINR
AXINU
AXON
AXSM
AXTI
AYTU
AZ
AZI
AZN
AZTA
AZYY
BABX
BACC
BACCR
BACCU
BACQ
BACQR
BACQU
BAER
BAERW
BAFE
BAFN
BAIG
BALQ
BAND
BANF
BANFP
BANL
BANR
BANX
BAOS
BASG
BASV
BATRA
BATRK
BAYA
BAYAR
BAYAU
BBB
BBCP
BBCQU
BBGI
BBH
BBIO
BBLG
BBLGW
BBNX
BBOT
BBSI
BBYY
BCAB
BCAL
BCAR
BCARU
BCARW
BCAX
BCBP
BCDA
BCFN
BCG
BCGWW
BCIC
BCLO
BCML
BCPC
BCRX
BCTK
BCTX
BCTXL
BCTXW
BCTXZ
BCYC
BDCI
BDCIU
BDCIW
BDGS
BDMD
BDMDW
BDRX
BDSX
BDTX
BDVL
BDYN
BEAG
BEAGR
BEAGU
BEAM
BEAT
BEATW
BEDY
BEEM
BEEP
BEEX
BEEZ
BEG
BELFA
BELFB
BELT
BENF
BENFW
BETR
BETRW
BFC
BFRG
BFRGW
BFRI
BFRIW
BFST
BGC
BGIN
BGL
BGLC
BGLWW
BGM
BGMS
BGMSP
BGRN
BGRO
BHAT
BHF
BHFAL
BHFAM
BHFAN
BHFAO
BHFAP
BHRB
BHST
BIAF
BIAFW
BIB
BIDG
BIDU
BIIB
BILI
